2018-03-26 11:52:09.402 [http-nio-8004-exec-8] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 15:04:30.810 [http-nio-8004-exec-2] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 16:33:49.769 [http-nio-8004-exec-1] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 16:47:51.509 [http-nio-8004-exec-4] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:04:45.601 [http-nio-8004-exec-4] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:07:01.906 [http-nio-8004-exec-1] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:07:58.871 [http-nio-8004-exec-3] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:08:20.531 [http-nio-8004-exec-5] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:11:42.680 [http-nio-8004-exec-1] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:35:42.728 [http-nio-8004-exec-4] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:35:52.363 [http-nio-8004-exec-6] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:36:02.678 [http-nio-8004-exec-9] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:36:34.831 [http-nio-8004-exec-8] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:49:23.299 [http-nio-8004-exec-7] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:49:27.366 [http-nio-8004-exec-3] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
2018-03-26 19:49:31.063 [http-nio-8004-exec-4] DEBUG com.fengmangbilu.security.authentication.TokenAuthenticationProcessingFilter - Authentication success: org.springframework.security.authentication.UsernamePasswordAuthenticationToken@a8f18204: Principal: 28313629220016128; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Not granted any authorities
